District,Member,Party,Race,Image Link,Voter Margin
1,Lester Carpenter,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Lester_Carpenter.jpg,1
2,Brad Mattox,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/BradMattox.jpg,1
3,William Arnold,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/arnold.jpg,0.802
4,Jody Steverson,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/steverson.jpg,0.883
5,John Faulkner,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/faulkner.jpg,1
6,Justin Keen,Republican,White,https://desotocountynews.com/wp-content/uploads/2023/01/Justin-Keen-800x445.jpg,0.587
7,Kimberly Remak,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/KimberlyRemak.jpg,0.601
8,Trey Lamar,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/lamar.jpg,1
9,Cedric Burnett,Democratic,Black,https://data.openstates.org/images/small/ocd-person/379b9fd9-2da7-4e20-b0ed-4319ead3a1db,0.712
10,Josh Hawkins,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/80182230_83452a1c-4a99-4e85-9c86-d12418dab31b.jpeg,1
11,Lataisha M. Jackson,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Lataisha_Jackson.jpg,1
12,Clay Deweese,Republican,White,https://data.openstates.org/images/small/ocd-person/0c9a7d35-4b91-42c7-8af2-39b6514c23d8,0.622
13,Steve Massengill,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/massengill.jpg,1
14,Sam Creekmore IV,Republican,White,https://data.openstates.org/images/small/ocd-person/d79acfe3-5991-41ae-b245-f7b7f877febb,1
15,Beth Luther Waldo,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Beth_Luther_Waldo.jpeg,1
16,Rickey Thompson,Democratic,Black,https://data.openstates.org/images/small/ocd-person/f8b65fd8-7b11-4954-93fd-47a5cbbd53c8,1
17,Shane Aguirre,Republican,White,https://data.openstates.org/images/small/ocd-person/4a73b9e6-c66b-4022-b380-6caea6b48265,1
18,Jerry Turner,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jerry_Turner.jpg,1
19,Randy Boyd,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/boyd.jpg,1
20,Rodney Hall,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/RodneyHall.jpg,1
21,Donnie Bell,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Donnie_Bell.jpg,1
22,Jon Lancaster,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/jrlancaster.png,1
23,Andrew Stepp,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AndrewStepp.png,0.719
24,Jeff Hale,Republican,White,http://billstatus.ls.state.ms.us/members/house/hale.jpg,0.673
25,Dan Eubanks,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DanEubanks2024.jpg,1
26,Orlando Paden,Democratic,Black,https://data.openstates.org/images/small/ocd-person/b6553553-bd9a-4bd4-92da-27018b5914fe,1
27,Kenji Holloway,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/KenjiHolloway.jpeg,1
28,Doc Harris,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/harrisdoc.jpg,1
29,Robert Sanders,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Robert-Sanders.jpg,1
30,Tracey Rosebud,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/rosebud.jpg,1
31,Otis Anthony,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/anthony.jpg,1
32,Solomon Osborne,Democratic,Black,https://data.openstates.org/images/small/ocd-person/23d69b3d-2f17-4fa9-a23c-c9ad8db4f7a9,1
33,Jim Estrada,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JimEstrada2023.jpeg,1
34,Kevin Horan,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kevin_Horan.jpg,1
35,Joey Hood,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Joey_Hood.jpg,1
36,Karl Gibbs,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/gibbs_36th.jpg,1
37,Andy Boyd,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Andy_Boyd.jpg,1
38,Cheikh Taylor,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/taylor.jpg,1
39,Dana Underwood McLean,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Dana_Underwood_McLean_headshot.jpeg,1
40,Hester Jackson-McCray,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/HesterJacksonMcCray.jpg,0.657
41,Kabir Karriem,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/karriem.jpg,0.792
42,Carl Mickens,Democratic,Black,https://data.openstates.org/images/small/ocd-person/6e50b530-8c0e-485a-a568-6d40ba83127d,0.884
