District,Member,Party,Race,Image Link,Voter Margin
1,Fred Thiele,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/FredThiele.jpg,0.548
2,Jodi Giglio,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jodi-Giglio.jpg,0.662
3,Joseph DeStefano,Republican,White,https://patch.com/img/cdn20/users/24679441/20221017/104927/styles/patch_image/public/image0-24___17222013761.jpg,0.641
4,Edward Flood,Republican,White,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW6SPhAocEcP1yZTd2HZm3IWAkFkxPGI04M_5DXioNXA&s,0.51
5,Doug Smith,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DougSmith_NewYork__fixed.jpg,0.674
6,Philip Ramos,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/PhilipRamos.jpg,0.598
7,Jarett Gandolfo,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jarett-Gandolfo.jpg,0.652
8,Michael Fitzpatrick,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/MichaelFitzpatrick.jpg,0.685
9,Michael Durso,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael-Durso.jpg,0.696
10,Steve Stern,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Steve_Stern.jpg,0.542
11,Kimberly Jean-Pierre,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kimberly_Jean-Pierre.jpg,0.502
12,Keith Brown,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Keith_Brown_20230524_083241.jpg,0.577
13,Charles Lavine,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/CharlesLavine.jpg,0.546
14,David McDonough,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DavidMcDonough.jpg,0.651
15,Jake Blumencranz,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JakeBlumencranz.jpg,0.578
16,Gina Sillitti,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Gina_Sillitti12.jpeg,0.517
17,John Mikulin,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mikulin.jpg,0.662
18,Taylor Darling,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/TaylorDarling1.jpg,0.849
19,Edward Ra,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/EdwardRa.jpg,0.665
20,Eric Ari Brown,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Eric-Ari-Brown.PNG,0.611
21,Brian Curran,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/BrianCurran.jpg,0.502
22,Michaelle Solages,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michaelle_Solages.jpg,0.578
23,Stacey G. Pheffer Amato,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/StaceyPhefferAmato.jpg,0.501
24,David Weprin,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/David-Weprin.jpg,1
25,Nily Rozic,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Nily_Rozic.jpg,0.566
26,Edward Braunstein,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/EdwardBraunstein.jpg,0.539
27,Sam Berger,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/200/Sam-Berger.png,0.577
28,Andrew Hevesi,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AndrewHevesi.jpg,0.576
29,Alicia Hyndman,Democratic,Black,https://nyassembly.gov/write/upload/member_files/029/headshot/029.jpg,1
30,Steven Raga,Democratic,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Steven_Raga.jpeg,0.579
